SSC_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
SSC40001,3,5,13,21,58,81,68,145,3,400,13,34,19,35,138,140,78,86,4,542,19,29,25,50,161,184,104,112,3,692,7,34,21,27,27,44,21,19,0,192,3,12,12,23,60,49,46,36,0,244,4,51,23,25,42,30,23,22,8,224,7,21,13,22,58,31,42,38,3,234,10,79,28,38,41,46,24,29,0,295,0,6,5,0,8,4,0,8,6,41,68,275,156,240,590,612,401,486,36,2859,11,10,11,26,54,34,19,46,4,203,44,65,110,141,129,105,46,49,3,694,3,18,22,27,31,11,11,10,0,131,24,87,88,133,75,35,16,15,11,477,33,76,99,140,223,80,42,23,0,719,19,134,62,69,36,17,11,11,7,357,0,0,0,4,5,0,0,3,0,11,4,67,27,35,23,6,0,7,0,174,3,3,4,4,9,3,3,3,12,36,135,462,423,574,579,298,147,151,35,2806
SSC40002,7,19,16,28,72,120,76,166,3,508,26,94,50,80,257,261,137,274,8,1193,15,24,35,36,87,72,37,46,4,353,9,88,48,46,35,32,20,34,11,320,13,10,21,22,76,38,27,20,4,241,3,35,28,16,44,27,13,19,0,192,3,3,3,6,23,14,7,16,4,79,3,93,42,20,33,13,3,13,6,235,0,11,0,10,9,4,3,6,15,50,86,377,249,267,632,593,320,589,47,3160,20,16,16,28,75,64,42,77,0,345,44,81,87,94,259,203,106,138,3,1026,4,15,26,10,29,17,10,17,3,128,20,119,97,67,50,32,22,19,10,431,19,58,50,57,154,73,34,19,4,465,17,74,53,31,49,12,8,11,4,256,0,0,3,0,0,3,0,3,0,10,3,42,27,12,10,4,3,0,0,102,3,4,0,5,6,3,0,8,12,49,128,409,363,312,636,414,226,288,36,2811
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,3,4,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,10,0,31,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,6,0,16
SSC40005,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40006,0,0,0,0,11,11,11,13,0,44,0,0,0,0,13,14,3,4,0,43,3,0,0,11,28,19,17,19,0,103,0,3,3,5,4,9,0,0,0,31,0,0,4,0,13,4,4,9,0,30,0,3,5,0,3,4,3,6,0,26,0,0,3,3,24,12,7,10,0,63,0,8,13,7,17,15,5,6,0,69,0,0,0,0,0,0,0,0,0,5,11,20,19,34,119,92,50,65,4,411,0,0,0,3,9,6,11,4,0,32,11,3,4,18,14,3,6,8,3,70,0,0,0,0,6,3,3,0,0,16,4,14,15,12,18,11,0,0,0,72,3,3,16,22,45,13,0,10,0,114,0,20,12,5,7,0,0,6,0,49,0,0,0,0,0,3,0,0,0,9,3,8,3,5,8,0,0,0,0,34,0,0,0,0,0,0,0,0,4,3,28,47,49,63,107,43,18,35,6,402
SSC40007,0,3,3,0,4,14,10,10,0,47,0,3,3,3,21,18,13,8,0,69,4,6,0,3,26,24,15,28,0,106,0,7,4,6,9,11,5,3,0,48,0,3,3,4,11,0,3,4,0,31,0,11,3,3,3,3,6,7,0,28,0,0,0,8,18,6,6,7,0,53,3,8,3,10,7,10,5,8,0,65,0,0,0,0,0,0,0,0,3,9,16,41,26,50,94,89,60,77,3,456,0,3,0,7,10,9,5,9,0,40,9,9,12,22,21,32,9,6,0,119,0,3,3,3,3,3,0,3,0,16,3,14,15,21,16,3,4,3,0,87,3,10,13,19,34,5,11,6,0,94,0,12,3,6,11,0,8,0,0,41,0,3,0,0,3,0,0,0,0,4,3,8,3,4,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,6,20,58,55,84,102,56,32,27,3,431
SSC40008,4,3,3,7,14,34,29,69,3,162,0,17,21,40,44,69,42,74,0,309,3,3,6,16,21,37,20,13,0,115,0,19,10,0,3,13,7,5,0,57,0,8,0,0,5,6,6,3,0,37,0,16,3,4,8,7,7,12,0,41,0,0,0,3,0,9,3,4,0,22,0,13,10,7,9,4,3,7,3,50,0,0,0,0,4,0,3,0,0,9,15,81,52,71,111,170,118,190,6,813,0,12,8,16,12,19,14,30,0,104,15,53,63,72,45,27,19,36,0,336,0,7,5,3,0,3,0,0,0,15,3,38,18,19,7,0,3,0,0,98,3,30,20,29,22,20,8,8,0,133,3,29,11,12,0,3,0,0,0,62,0,0,0,0,0,0,0,0,0,3,0,14,0,3,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,3,29,180,127,156,94,73,46,70,6,779
SSC40009,0,0,0,3,0,3,0,3,0,20,0,6,4,3,6,9,4,0,0,25,0,8,0,3,5,9,4,3,0,33,0,0,0,3,3,0,0,0,4,9,0,0,0,0,6,0,0,3,0,11,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,4,0,13,0,9,0,6,3,3,0,3,0,24,0,0,0,0,0,0,0,0,0,0,9,19,10,19,27,20,13,18,3,140,0,3,0,4,3,3,0,0,0,11,0,8,3,4,6,4,0,4,0,37,0,3,3,0,0,0,0,0,0,9,0,3,3,9,3,0,0,0,0,21,0,3,7,0,4,0,0,0,0,11,0,0,3,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,25,17,24,21,13,8,8,0,119
SSC40010,7,6,4,11,45,42,40,72,0,237,5,15,10,22,41,50,15,33,0,201,25,19,32,64,138,142,90,118,6,632,9,13,13,30,21,23,11,15,0,143,3,6,0,14,44,16,16,6,0,107,3,21,18,25,34,32,19,12,0,163,18,9,14,25,69,40,21,68,5,266,16,54,36,41,72,60,29,32,0,354,3,0,3,3,5,3,7,4,11,36,85,151,137,232,479,413,244,367,32,2138,8,14,8,20,30,26,19,25,0,146,29,30,58,66,77,38,22,21,3,343,3,25,20,28,25,11,5,3,0,138,41,98,100,147,69,19,16,14,3,502,16,51,66,65,118,51,23,6,4,391,30,97,54,53,48,20,13,8,3,329,0,4,3,0,3,4,0,0,0,13,8,67,41,32,26,9,8,3,6,187,7,0,0,0,4,0,0,0,10,31,141,376,350,415,393,177,101,85,34,2077
SSC40011,0,0,0,0,0,4,3,11,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,5,15,0,38,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,3,0,4,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,9,11,3,3,3,0,0,33
SSC40012,3,3,4,3,11,16,8,18,0,65,0,0,0,3,24,28,8,16,0,92,3,5,5,3,32,23,16,15,0,99,0,3,0,0,7,5,6,3,0,30,0,3,0,3,14,7,4,12,0,56,0,15,7,3,7,3,5,6,0,41,0,8,0,3,10,14,7,4,0,50,0,20,16,3,14,5,3,3,3,61,0,0,0,0,4,0,0,0,0,9,14,60,28,37,124,105,54,84,8,509,0,3,0,4,9,3,4,9,0,40,7,15,14,19,24,20,6,5,0,110,0,3,3,3,8,0,0,4,0,22,0,20,6,6,12,8,3,0,0,65,9,20,19,15,43,21,12,4,0,134,5,32,6,16,7,3,0,0,3,66,0,3,0,0,0,0,0,0,0,8,3,9,4,7,4,3,0,0,0,20,0,0,0,0,3,0,0,0,0,11,19,98,60,70,118,56,22,24,8,475
SSC40013,0,0,0,0,0,6,0,10,0,13,0,0,0,3,0,0,0,4,0,11,0,0,0,0,3,4,11,8,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,0,16,0,0,4,5,3,3,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,7,7,15,14,15,13,31,6,108,0,3,0,0,3,5,0,7,0,12,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,4,0,0,0,27,0,0,3,0,0,3,0,0,0,13,0,6,4,4,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,7,21,16,14,14,14,7,6,3,98
SSC40014,0,0,0,3,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,0,6,0,5,3,13,0,33,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,11,3,9,5,0,3,4,0,32
SSC40015,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,3,3,0,21
SSC40016,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,4,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,9,0,36,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,5,0,0,0,22
SSC40017,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,7,0,0,3,31,0,0,0,3,0,0,0,3,0,10,0,0,0,15,3,4,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,0,0,3,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,23,6,9,3,4,0,52
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,0,0,0,0,4,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,4,6,0,0,3,0,34,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,14,10,8,3,0,5,0,0,36
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40021,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40022,0,0,0,0,0,0,3,3,0,9,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,3,11,4,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,12,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,4,12,8,4,4,0,30
SSC40023,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,4,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,4,12,0,23,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,3,8,6,10,3,4,11,28,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,3,0,9,0,3,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,7,11,5,8,7,4,11,0,53
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10
SSC40026,6,3,0,9,20,24,28,40,0,130,5,4,4,5,31,27,11,13,0,101,11,9,8,27,133,115,56,47,6,413,3,10,11,14,30,20,18,17,0,121,3,0,0,5,37,18,7,11,0,83,0,21,10,13,24,16,9,11,0,110,11,10,17,37,109,74,38,68,5,372,8,39,33,36,103,68,38,30,14,363,0,0,0,0,9,8,5,3,14,44,47,92,87,145,486,373,220,244,36,1733,0,5,5,5,32,16,13,12,0,101,14,16,12,29,36,23,9,14,4,162,5,6,7,19,25,10,3,0,3,77,15,51,66,104,64,25,18,26,6,365,19,20,27,44,104,44,18,12,0,308,15,74,62,56,50,16,4,0,4,288,4,4,0,10,3,5,0,3,0,29,3,46,39,30,36,15,3,8,0,185,3,4,3,0,10,3,3,3,0,27,80,230,222,309,366,156,76,84,23,1539
SSC40027,0,0,0,0,0,3,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,5,0,18,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,14
SSC40028,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,8
SSC40029,3,6,5,4,5,25,20,41,0,114,4,11,3,3,8,13,23,15,0,73,5,7,6,12,22,21,12,24,3,109,0,3,0,3,3,0,0,3,0,9,0,0,3,3,0,6,5,3,0,25,3,3,0,3,3,0,7,8,0,26,3,0,3,4,16,14,10,11,0,55,7,8,13,20,15,40,8,10,3,118,0,0,0,0,0,0,0,0,0,3,27,39,33,43,74,119,79,114,9,532,0,7,4,12,7,13,3,14,0,57,7,7,15,18,8,14,9,9,3,90,0,4,6,3,0,3,4,3,0,26,3,21,17,16,11,3,0,3,0,70,5,18,14,10,6,12,4,3,0,71,3,12,15,13,7,3,3,0,0,52,0,0,0,0,0,0,0,0,0,4,0,26,10,18,12,11,9,3,0,79,0,0,0,0,0,0,3,0,0,9,13,91,80,90,44,60,29,33,5,460
