SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC40001,0,8,29,47,14,145,15,90,4,350,24,60,91,97,64,112,19,68,4,534,93,244,186,117,160,91,37,64,16,1010,147,308,173,112,195,68,45,60,19,1129,183,319,183,153,267,90,72,83,13,1356,134,257,129,135,227,74,56,89,8,1104,26,42,23,19,28,12,12,7,6,163,0,3,4,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,603,1232,825,675,959,585,246,469,73,5663
SSC40002,5,0,17,40,7,42,0,22,5,134,34,146,70,257,80,116,7,85,9,813,247,971,192,251,244,149,21,103,31,2211,206,466,77,92,120,52,17,61,12,1102,167,244,72,70,120,39,18,41,11,788,132,252,47,31,84,40,13,17,13,624,49,124,8,11,42,10,3,10,7,265,8,13,0,0,3,3,0,0,0,35,0,0,0,0,0,0,0,0,3,6,856,2215,480,753,702,449,92,339,96,5972
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,8,13,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,4,0,4,0,3,4,0,46
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,16
SSC40006,0,0,3,4,0,15,0,6,0,37,3,7,11,21,10,13,4,9,3,83,16,43,39,17,37,10,17,22,0,199,23,26,26,30,34,9,16,26,3,201,17,22,20,16,39,19,8,28,6,173,13,18,15,6,20,3,16,9,0,112,3,0,3,0,3,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,116,120,100,147,73,64,98,13,814
SSC40007,0,0,4,4,0,13,0,12,0,33,5,7,6,12,15,14,4,3,0,64,16,49,35,37,27,14,8,16,0,205,25,38,31,19,25,12,6,10,3,166,21,45,21,36,35,11,14,17,3,212,17,38,27,22,22,14,14,22,3,178,3,5,0,3,8,0,4,3,0,25,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,86,186,119,135,129,69,54,89,9,888
SSC40008,0,5,14,20,3,23,3,19,0,86,3,16,13,29,10,23,3,10,0,108,12,48,23,13,8,6,4,7,0,114,73,176,20,25,31,18,3,9,3,359,81,185,38,35,52,23,9,9,3,432,79,161,26,30,42,12,5,9,4,370,17,46,9,3,19,7,3,3,0,115,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,270,647,133,154,166,105,25,72,17,1590
SSC40009,0,0,4,5,0,3,0,3,0,16,0,0,0,4,3,3,0,5,0,14,0,6,5,3,3,3,3,4,0,30,5,19,6,7,4,0,4,5,0,54,14,14,11,10,7,7,0,10,0,73,3,17,8,9,7,0,3,8,0,52,0,6,3,0,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,64,40,32,27,20,11,34,0,257
SSC40010,3,0,30,33,9,83,8,63,6,229,22,14,90,72,34,63,21,56,3,369,80,130,242,139,109,103,62,87,21,974,118,157,190,160,128,95,63,96,15,1025,99,142,137,128,110,93,73,134,13,937,48,80,74,102,89,51,41,81,3,565,7,25,12,8,16,7,9,13,6,106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,379,545,770,649,492,492,286,542,66,4217
SSC40011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,12,7,5,0,0,4,0,0,0,0,20,12,3,0,3,0,0,0,0,0,17,3,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,14,5,7,12,3,6,5,0,73
SSC40012,0,0,4,3,0,31,4,10,0,54,3,11,13,16,13,24,10,12,0,98,24,52,22,22,28,13,10,11,4,189,17,56,29,12,41,10,9,14,6,193,38,44,27,20,56,19,18,19,3,247,16,31,25,15,39,10,11,17,5,165,3,9,3,3,5,0,0,4,0,35,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,107,203,124,97,186,103,57,83,20,977
SSC40013,0,0,3,3,0,7,0,10,0,21,0,0,3,0,0,4,0,5,0,15,7,4,13,3,3,6,4,12,0,50,9,4,9,6,8,4,7,13,0,50,6,7,8,5,3,3,7,6,0,44,6,0,0,4,0,0,5,5,0,24,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,19,34,23,13,16,17,44,3,204
SSC40014,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11,7,3,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,6,3,3,3,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,10,5,8,4,3,3,9,3,67
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,12,0,3,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,6,6,0,3,4,0,38
SSC40016,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,3,6,0,0,3,0,0,0,0,17,8,0,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,8,4,3,3,5,6,0,54
SSC40017,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,5,3,6,0,6,3,0,0,7,0,29,3,4,0,3,0,0,0,4,0,11,6,10,0,10,0,0,0,0,0,22,3,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,0,20,5,3,0,7,0,88
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,0,0,11,4,0,3,0,0,0,0,0,0,11,4,0,3,6,0,4,0,0,0,14,3,4,3,3,0,0,0,0,0,16,0,3,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,12,16,4,6,5,7,0,64
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
SSC40022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,11,0,0,0,3,0,0,0,5,0,7,0,3,3,3,0,0,0,3,3,19,4,3,0,4,4,0,0,6,0,24,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,9,15,9,0,0,10,8,70
SSC40023,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,0,3,0,0,6,3,0,20,0,0,3,4,3,0,9,3,0,21,3,4,6,3,4,4,11,3,0,39,3,3,11,3,3,3,4,0,0,31,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,26,13,8,6,26,12,4,116
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40025,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,26
SSC40026,0,0,18,18,7,75,3,56,0,177,15,16,75,68,50,89,44,87,5,442,74,114,191,171,124,121,112,157,27,1093,61,71,111,107,87,59,120,104,22,731,47,41,66,92,83,34,84,97,16,560,25,16,32,31,36,21,40,46,7,251,3,0,6,7,5,0,5,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,259,491,487,392,396,405,546,71,3275
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,0,11,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,4,0,3,6,0,30
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,3,3,0,19
SSC40029,0,3,12,13,0,13,0,21,0,55,0,3,8,5,0,6,4,26,0,61,20,26,31,7,13,6,9,29,0,144,39,51,23,23,18,12,13,45,0,221,50,37,32,22,34,23,15,45,5,260,41,35,19,11,23,15,8,37,0,191,8,9,3,0,4,6,5,6,0,49,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,174,161,132,84,94,83,60,198,8,986
SSC40030,0,0,0,3,0,3,0,5,0,13,0,3,10,10,4,12,3,4,0,44,7,30,19,39,19,10,15,23,8,172,11,34,25,21,13,10,12,27,5,149,8,16,15,13,6,3,18,19,3,99,4,3,11,7,3,3,11,7,0,49,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,82,73,94,50,46,50,83,13,528
SSC40031,0,0,17,12,5,32,4,32,0,104,5,7,35,13,14,16,11,23,5,134,27,34,47,20,34,21,24,17,4,220,51,51,69,42,70,31,31,23,8,381,70,35,64,35,77,27,49,41,8,406,24,19,34,13,28,12,28,22,3,189,7,0,0,0,5,0,9,7,0,29,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,198,158,279,131,236,136,147,172,28,1468
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,0,14
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,14
SSC40036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,3,0,0,0,0,9,4,0,0,3,0,0,0,3,0,9,5,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,4,7,0,0,4,0,38
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
SSC40038,0,0,0,0,0,7,0,0,0,12,0,4,3,5,3,0,3,6,0,20,8,4,20,12,4,3,9,8,0,62,7,12,9,14,0,5,3,4,0,53,8,4,6,6,6,3,15,15,0,76,15,14,12,12,8,7,17,18,0,114,3,0,3,4,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,45,44,51,49,26,35,49,58,6,360
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,15,0,3,7,0,0,0,4,0,0,19,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,16,3,3,0,12,9,0,50
SSC40040,0,0,3,0,0,6,0,3,0,12,0,3,0,0,0,0,0,0,0,3,3,10,4,3,3,3,4,3,0,27,9,17,9,3,7,0,3,9,0,53,9,5,5,4,6,0,0,4,0,42,5,13,8,3,10,0,0,3,0,46,5,7,0,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,50,22,16,22,16,9,25,0,200
SSC40041,0,0,5,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,7,3,4,4,0,0,0,3,3,0,21,5,5,0,7,0,0,0,4,0,24,8,0,5,0,0,0,4,11,0,39,10,0,5,9,3,4,3,8,0,41,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,29,16,8,11,12,31,0,155
SSC40042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,9,3,0,0,0,0,0,0,13,6,3,0,4,3,0,4,0,0,21,3,4,0,0,0,0,0,4,0,14,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24,18,3,8,6,3,3,4,0,73
SSC40043,0,0,3,15,0,30,0,23,0,69,15,35,37,51,33,43,12,26,5,252,37,168,74,76,57,39,11,32,3,505,30,114,37,46,45,24,14,33,3,353,16,50,31,24,35,18,26,39,4,236,13,32,23,26,34,5,16,22,0,179,4,4,3,3,3,3,0,8,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,113,404,206,245,201,164,85,185,18,1622
SSC40044,0,0,0,3,0,3,0,0,0,4,0,0,4,4,0,0,0,4,0,13,0,4,3,0,0,0,0,3,0,10,3,0,5,0,0,0,0,0,0,20,10,7,4,5,3,6,4,4,0,42,13,6,4,6,3,5,3,0,0,43,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,21,21,20,15,10,5,16,0,144
SSC40045,0,0,0,0,0,6,0,0,0,12,0,6,11,13,6,4,3,3,3,45,13,56,22,28,23,9,4,11,0,153,8,33,9,8,12,12,3,15,0,88,14,9,10,11,18,3,6,3,0,71,4,19,8,6,11,6,8,3,0,57,3,0,3,0,3,0,0,0,3,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,125,49,66,71,40,17,39,9,451
SSC40046,0,0,0,4,0,3,0,4,0,10,0,3,7,6,0,5,0,3,0,30,7,4,7,5,6,0,0,3,0,34,12,13,9,0,0,3,0,0,0,36,7,20,9,9,10,0,3,0,3,58,13,26,9,11,10,6,4,0,0,78,10,5,0,0,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,72,36,24,32,17,12,13,5,267
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,19
SSC40048,0,3,11,44,11,116,4,43,0,234,25,53,85,84,48,95,17,39,10,459,74,248,117,69,123,62,27,48,15,761,142,282,118,88,148,80,30,50,9,939,194,280,158,106,235,107,47,66,19,1213,126,232,120,92,155,79,33,69,13,920,35,53,23,10,37,13,11,14,4,200,3,3,0,0,3,3,0,0,3,21,0,0,0,0,0,0,0,0,0,0,592,1146,638,483,761,552,157,332,74,4743
SSC40049,0,0,0,3,0,0,0,9,0,16,0,13,15,24,8,14,3,20,0,98,25,57,30,41,29,14,22,54,3,278,13,25,24,47,29,17,24,28,0,206,21,9,14,21,7,11,17,32,4,137,6,6,13,8,3,5,8,21,0,68,3,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,112,102,139,79,60,66,165,11,813
SSC40050,0,0,0,0,0,0,0,9,0,11,0,0,3,0,3,0,0,5,0,12,12,10,9,3,3,6,4,5,0,50,11,8,7,4,3,0,0,8,0,47,16,23,10,10,3,6,5,20,0,91,21,13,8,7,12,8,6,16,0,84,7,3,5,3,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,62,53,38,26,30,26,15,63,3,320
SSC40051,0,0,3,0,0,0,3,3,0,11,0,3,0,9,4,7,0,0,0,20,8,23,9,0,4,5,0,0,0,47,10,20,7,4,8,0,0,0,0,52,14,12,5,0,12,3,0,0,0,51,16,26,3,8,19,9,0,0,0,87,6,17,5,0,8,3,0,0,0,39,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,61,107,30,17,51,26,6,11,10,311
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,15
SSC40053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,9,10,3,0,0,0,0,0,0,0,17,8,4,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,3,0,6,0,3,3,0,60
SSC40054,0,0,0,0,0,3,0,4,0,7,0,0,0,0,0,3,0,0,0,4,0,6,3,3,3,4,0,0,0,17,0,0,5,4,0,0,3,0,0,18,3,5,3,0,3,0,0,0,0,19,3,3,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,6,11,7,6,8,9,0,69
SSC40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0,12,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,8,9,0,31
SSC40056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,3,0,0,0,0,3,0,17,0,3,0,3,0,0,0,0,0,6,3,0,0,3,3,0,6,0,0,11,3,3,3,3,3,0,0,3,0,23,7,0,0,0,4,0,0,0,0,19,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,25,10,5,7,10,3,4,12,0,85
SSC40057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,5,3,3,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,6,6,8,0,0,0,0,3,0,0,17,4,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,9,7,3,3,0,3,3,0,57
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,0,0,3,5,9,19,0,20,0,52,3,9,17,11,4,7,3,22,3,82,16,19,17,18,8,4,14,29,0,133,25,20,27,10,17,5,25,26,6,163,35,23,22,13,36,18,19,25,0,184,28,24,19,18,14,16,23,21,0,157,11,3,3,0,8,6,9,3,3,51,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,115,102,112,79,91,71,101,149,12,832
