SSC_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SSC40001,3,23,34,38,33,18,5,0,146,0,15,10,12,17,7,0,0,61,40,114,114,119,95,61,14,5,562,13,57,101,105,105,53,15,4,449,116,229,186,231,228,135,61,18,1206,7,5,10,8,6,0,4,0,40,3,9,12,21,19,11,3,3,87,129,246,203,264,255,147,72,26,1334,5,0,7,8,9,11,0,0,39,28,25,27,35,29,11,15,18,195,214,474,492,578,543,315,119,50,2791,0,36,42,32,19,5,0,0,142,0,15,36,16,25,14,7,0,108,69,172,196,172,107,61,11,9,795,18,81,92,141,118,50,23,5,533,78,124,119,127,115,36,16,9,624,19,16,19,17,16,7,0,0,92,3,13,24,33,32,18,3,6,137,103,153,164,177,158,60,20,15,855,4,0,7,8,6,4,4,3,36,31,17,24,30,34,29,31,26,225,227,470,546,577,479,227,105,59,2685,3,57
SSC40002,17,280,165,81,75,63,20,6,704,7,51,32,16,26,13,3,0,140,299,705,272,146,125,127,16,11,1705,177,165,66,69,61,41,13,3,592,73,131,78,91,87,32,18,7,524,13,16,12,5,0,5,0,0,48,11,20,9,15,19,12,10,0,100,97,165,99,118,105,45,30,8,666,23,19,5,3,7,5,3,0,67,281,353,188,160,109,77,27,5,1204,900,1738,829,586,507,370,113,39,5079,24,355,140,66,64,45,14,3,714,12,41,23,17,34,24,5,0,160,403,767,249,135,109,115,19,4,1809,170,130,76,77,71,56,19,11,616,80,73,51,39,29,10,3,3,284,7,11,4,10,5,4,0,0,42,19,17,7,11,11,14,4,0,95,105,103,65,53,41,29,14,3,416,33,5,3,3,3,0,3,0,53,247,184,63,56,66,56,33,16,732,1004,1591,618,416,395,329,111,36,4506,45,628
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,3,3,0,0,17,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0
SSC40006,0,8,0,0,0,0,0,0,9,0,0,5,3,0,0,0,0,9,5,28,19,8,10,0,0,0,68,3,7,12,8,9,3,0,0,46,11,40,39,26,35,11,6,0,172,11,0,0,0,0,0,0,0,13,3,0,4,3,0,0,0,0,15,19,43,40,33,33,15,6,3,202,0,0,0,0,0,0,0,0,4,7,11,4,9,7,7,7,0,53,41,91,88,61,60,32,17,4,391,0,9,7,4,0,0,0,0,15,0,0,0,5,3,0,0,0,8,10,36,18,8,8,0,0,0,77,0,14,19,19,10,0,4,0,63,10,23,26,22,9,0,0,0,88,3,4,3,3,0,3,0,0,15,3,5,0,3,5,3,0,0,20,20,28,32,27,18,9,0,0,125,3,0,0,0,3,0,0,0,10,8,4,8,5,14,11,9,7,50,35,89,81,66,52,17,10,7,358,0,13
SSC40007,0,4,3,3,7,5,0,0,24,0,0,3,3,0,3,0,0,9,3,22,17,9,10,6,0,0,82,5,16,15,12,13,6,0,0,61,8,34,28,37,39,20,10,6,172,3,0,3,0,0,0,0,0,8,3,3,0,4,0,3,0,0,14,17,36,30,39,44,23,6,6,200,0,0,3,3,3,0,0,0,10,8,11,0,3,3,8,3,5,45,36,86,76,71,79,49,15,9,417,0,0,7,8,3,0,0,0,16,0,5,4,7,7,3,0,0,22,12,39,27,21,13,4,3,0,114,3,24,11,20,17,8,0,0,91,8,19,19,19,18,4,0,0,99,0,4,3,0,0,0,0,0,6,0,3,7,3,3,3,0,0,22,14,31,26,28,22,7,3,0,126,0,0,0,0,0,3,0,0,7,3,5,0,13,9,9,6,7,49,26,106,77,93,67,37,10,6,433,0,3
SSC40008,0,6,26,34,30,40,9,0,145,0,0,13,10,11,18,5,0,54,15,26,65,84,79,57,9,3,332,0,0,21,36,37,39,11,0,143,11,25,25,36,45,15,10,0,169,0,0,0,0,0,3,0,0,3,4,0,0,0,3,10,0,0,23,13,25,25,38,53,31,12,0,198,0,0,0,0,0,4,3,0,7,8,4,14,10,15,8,7,0,53,37,59,165,210,224,186,59,4,946,0,8,37,29,33,15,3,3,128,0,0,19,21,22,19,0,0,78,13,35,120,80,74,55,8,5,384,5,7,18,36,51,43,10,0,164,8,11,8,23,23,14,0,0,77,3,0,3,0,5,3,0,0,16,3,0,6,0,13,3,0,3,36,19,7,15,20,40,17,3,3,129,0,0,0,0,3,4,4,0,10,8,8,10,17,18,18,10,3,87,40,66,215,197,236,170,35,16,975,0,15
SSC40009,0,0,0,3,0,3,0,0,13,0,0,0,0,3,4,0,0,5,0,3,6,6,5,3,3,0,25,0,0,0,9,3,3,4,0,16,0,9,9,14,11,5,3,0,56,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,3,9,10,19,11,5,3,0,60,0,0,0,0,0,0,0,0,0,5,0,5,5,3,5,4,0,25,5,14,20,44,24,19,9,3,142,0,0,3,0,3,3,0,0,12,0,4,4,3,3,3,0,0,16,0,3,21,10,5,10,3,0,49,0,0,8,10,12,3,3,0,29,0,9,3,3,3,3,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,5,3,9,3,6,7,9,0,0,32,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,17,6,17,32,27,31,29,7,0,152,0,0
SSC40010,0,0,3,9,8,17,8,0,45,0,5,17,7,11,3,0,0,38,3,35,52,49,26,26,3,3,193,16,34,57,46,50,32,16,3,253,85,276,225,205,174,109,53,16,1155,17,16,11,12,6,3,0,0,68,5,10,20,10,17,9,3,0,75,117,300,257,227,194,123,60,16,1294,3,0,3,7,3,3,5,0,28,74,62,64,68,64,40,29,12,410,207,436,448,409,353,252,117,39,2266,4,15,20,12,10,10,0,0,70,0,17,21,14,15,13,3,0,75,11,90,111,71,63,30,15,0,394,30,90,111,108,73,47,11,0,477,89,180,176,100,78,35,10,3,663,27,42,18,14,8,13,0,0,122,14,24,37,23,19,15,3,0,130,128,251,231,136,104,56,9,4,918,0,7,4,4,3,5,0,0,21,60,59,52,67,62,65,43,29,430,231,527,552,408,330,226,80,31,2386,4,16
SSC40011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,8,3,3,5,0,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,0,6,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,6,5,9,9,7,7,0,0,37,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,6,6,3,9,0,0,34,0,0
SSC40012,0,7,12,9,3,3,0,0,30,0,3,5,5,3,0,0,0,16,7,36,22,21,8,4,0,0,109,0,9,10,15,13,9,0,0,61,16,27,20,39,33,14,9,3,168,0,0,0,0,0,0,0,0,3,3,4,0,4,5,0,0,0,14,23,30,22,40,39,14,11,3,184,0,3,3,0,0,0,0,0,11,7,4,3,4,4,5,10,3,36,35,92,76,98,72,43,23,7,448,0,7,6,0,8,0,0,0,22,3,7,3,0,5,0,0,0,24,18,44,36,24,14,9,0,0,145,3,11,20,21,26,3,0,0,84,14,9,8,15,9,8,5,0,63,3,0,0,0,0,0,0,0,6,0,3,3,5,3,0,0,0,13,14,15,12,19,11,10,5,0,86,0,0,4,3,0,0,0,0,10,8,3,4,3,9,8,4,3,50,44,94,86,77,64,34,15,4,416,0,21
SSC40013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,7,14,12,11,5,7,0,0,55,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,15,16,11,4,8,0,0,66,0,0,0,0,0,0,0,0,0,0,3,3,8,0,3,0,0,23,4,25,22,19,11,7,0,0,93,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,4,0,8,3,0,3,3,0,0,14,5,8,4,10,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,6,8,6,0,0,0,41,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,17,9,18,15,14,16,3,0,0,87,0,0
SSC40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,3,0,3,0,0,0,8,0,3,4,0,6,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,4,12,3,7,6,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,8,5,5,9,5,0,0,31,0,0
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,4,0,3,0,3,6,0,0,20,0,0
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,3,0,4,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,7,0,0,0,21,0,0,0,0,0,0,0,0,0,4,3,0,3,5,0,0,0,12,4,5,4,12,15,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,0,0,0,10,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,3,14,9,3,0,3,33,0,0
SSC40017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,8,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,7,13,6,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,7,4,3,6,5,0,0,0,25,19,15,10,11,5,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,5,5,6,3,3,0,0,0,0,14,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,3,11,3,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,6,6,0,4,0,0,0,0,18,8,22,11,13,7,0,0,0,64,0,0
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SSC40019,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,3,0,0,10,0,3,3,3,7,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,3,3,7,12,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,3,0,14,3,3,7,10,16,25,3,0,65,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,8,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,3,0,3,7,12,0,0,25,3,10,3,11,15,18,4,0,56,0,0
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
SSC40022,0,4,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,3,6,4,0,0,0,12,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,15,0,0,0,0,0,0,0,0,0,6,5,7,5,3,3,0,0,38,6,8,14,13,16,6,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,9,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,7,3,9,0,0,0,27,7,8,7,6,12,0,0,0,43,0,4
SSC40023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,3,6,16,5,6,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,18,5,12,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,0,25,0,4,8,20,11,21,12,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,12,0,0,3,3,3,0,0,0,12,0,0,0,8,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,6,0,23,0,6,6,15,13,10,5,0,61,0,0
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0
SSC40026,0,3,9,3,4,0,0,0,19,0,3,3,0,3,0,0,0,10,14,42,28,14,0,5,0,0,97,11,43,29,28,23,6,0,0,140,89,268,155,108,47,19,13,0,702,21,15,10,3,3,0,0,0,62,5,5,4,11,6,0,0,0,38,117,291,174,120,60,24,14,0,796,0,3,6,3,3,0,0,0,20,44,60,40,27,22,13,4,4,214,187,448,288,198,114,42,19,8,1297,0,15,6,3,3,0,0,0,24,3,12,4,3,0,0,0,0,25,15,71,53,14,15,5,4,0,172,20,84,72,44,17,6,0,0,241,105,247,117,76,29,9,0,0,586,31,43,20,8,0,0,0,0,101,12,22,24,16,9,0,0,0,69,147,316,155,100,37,11,0,0,763,3,4,4,4,3,0,0,0,24,53,63,33,37,18,16,13,0,229,242,567,328,198,89,30,14,0,1472,0,20
